system:index,B11,B3,B3_20m,B4,B4_20m,B8,B8_20m,CLP,CLP_20m,EPSG,NDSI_20m,NDVI,NDVI_20m,doi,kNDVI,kNDVI_20m,lat,long,name,year,.geo
20180608T210029_20180608T210024_T07WET_4,3637,5847,5789,6020,6126,5906,5825,99,99,32607,0.22830468915764907,-0.00955894683883951,-0.025186176888963265,159,9.137346441346417E-5,6.343434211973104E-4,69.57651,-138.86711,Phenocam5,2018,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20180608T210029_20180608T210024_T07WET_5,3213,5451,5510,5838,5791,5341,5366,96,97,32607,0.2633268370973289,-0.044458359423919847,-0.03809267724298646,159,0.0019765431487250022,0.0014510510411173026,69.57483,-138.86305,Phenocam6,2018,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20180609T212521_20180609T212521_T07WET_0,1352,3844,3718,4287,3988,4077,3820,7,6,32607,0.4666666666666667,-0.025107604017216643,-0.02151639344262295,160,6.303916959807726E-4,4.6295515370307406E-4,69.5756,-138.9046,Phenocam1,2018,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20180609T212521_20180609T212521_T07WET_1,1774,1825,1892,1842,1891,2478,2478,28,13,32607,0.03218767048554282,0.14722222222222223,0.134355687800412,160,0.021670989298064967,0.01804949038208348,69.5757,-138.90525,Phenocam2,2018,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20180609T212521_20180609T212521_T07WET_2,1965,2045,2694,2171,2787,2946,3363,1,13,32607,0.15647134578235672,0.15145593120969317,0.09365853658536585,160,0.022934876515175277,0.008771696492374026,69.57781,-138.91277,Phenocam3,2018,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20180609T212521_20180609T212521_T07WET_3,1079,5185,4310,5430,4664,5214,4424,10,10,32607,0.5995546483577658,-0.020293122886133032,-0.02640845070422535,160,4.118108131922832E-4,6.974061555304142E-4,69.57515,-138.89453,Phenocam4,2018,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20180609T212521_20180609T212521_T07WET_4,1903,2105,2100,2135,2251,2472,2619,14,5,32607,0.04921309018236323,0.07314955502496201,0.075564681724846,160,0.005350806332931595,0.005709959067827525,69.57651,-138.86711,Phenocam5,2018,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20180609T212521_20180609T212521_T07WET_5,2145,2147,2137,2189,2295,2748,2758,11,16,32607,-0.0018682858477347033,0.11322665586388495,0.09162873540471007,160,0.012819573266407024,0.008395627883859428,69.57483,-138.86305,Phenocam6,2018,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20180611T211509_20180611T211511_T07WET_0,1611,2331,2577,2166,2607,2498,2907,0,2,32607,0.23065902578796563,0.0711835334476844,0.0544069640914037,162,0.005067052067880793,0.002960109095863281,69.5756,-138.9046,Phenocam1,2018,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20180611T211509_20180611T211511_T07WET_1,2076,1263,1378,1252,1356,2109,2095,3,4,32607,-0.2020845396641575,0.2549836358226718,0.21414082874529122,162,0.064925197126359,0.04582417934663462,69.5757,-138.90525,Phenocam2,2018,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20180611T211509_20180611T211511_T07WET_2,2465,1402,1680,1474,1769,2414,2677,4,4,32607,-0.18938480096501809,0.2417695473251029,0.20422852001799371,162,0.05838603337201402,0.041685118481530656,69.57781,-138.91277,Phenocam3,2018,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20180611T211509_20180611T211511_T07WET_3,809,2782,2279,3040,2408,2658,2271,8,3,32607,0.47603626943005184,-0.06704106704106703,-0.029279760632613807,162,0.004494474406393975,8.573041726719925E-4,69.57515,-138.89453,Phenocam4,2018,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20180611T211509_20180611T211511_T07WET_4,2558,1276,1255,1262,1261,1974,1905,22,15,32607,-0.34172567532126935,0.2200247218788628,0.20341124447252054,162,0.048373094867330886,0.04135253876900056,69.57651,-138.86711,Phenocam5,2018,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
